ID,FirstName,LastName,Age,maritalStatus,Country,Gender
1,Molly,Wolfe,25,Married,Latvia,Male
2,Robert,Kent,28,Widowed,,Female
3,Jeffrey,Ochoa,26,Widowed,Liberia,Male
4,Morgan,Gibbs,25,Divorced,Liberia,Others
5,,,,Married,Latvia,Male
6,Michael,Smith,31,,Liberia,Male
7,Douglas,,39,Single,Germany,
8,Christine,Thomas,42,Widowed,Liberia,Male
9,Matthew,Lawrence,40,Widowed,Liberia,Male
10,Austin,Baker,,Divorced,,Male
11,Justin,Ball,,Divorced,Germany,Others
12,Kim,Powell,31,Divorced,Latvia,Male
13,Samuel,Rivas,39,Divorced,Germany,
14,Juan,White,42,Single,Yemen,Male
15,Brittany,Lopez,40,Married,Argentina,
16,Kenneth,Bell,25,Widowed,Latvia,Male
17,Michelle,Hinton,,,Latvia,
18,Heather,Davis,26,Single,Germany,Male
19,Caleb,Jones,25,Divorced,Liberia,Male
20,Nicholas,Holt,,,Germany,
