first_name,last_name,email,phone_number,address,student_id,major,gpa,vehicle_make,vehicle_model,vehicle_year,product_purchased,price
Nidhi,Kuruvilla,nidhi.kuruvilla852@gmail.com,9811942006,"88/843, Batra Nagar, Chinsurah-930920",S10000,Science,3.23,Tata,Placeat 697,1997,Clothing - Profit-focused reciprocal architecture,2119.65
Qarin,Parmar,qarin.parmar453@hotmail.com,7942357381,"36, Chatterjee Nagar, Bangalore 209547",S10001,Computer Science,3.08,Honda,Repellat 269,1995,Electronics - Stand-alone web-enabled secured line,3497.01
Rudra,Sibal,rudra.sibal638@gmail.com,8228392078,"H.No. 560, Narayan, Mysore 347997",S10002,Science,2.08,Mahindra,Maiores 919,2004,Home Goods - Multi-tiered reciprocal system engine,894.55
Falak,Jayaraman,falak.jayaraman954@gmail.com,4393763436,"041, Mutti Road, Kadapa-272766",S10003,Science,2.15,Mahindra,Facere 213,1994,Clothing - Visionary object-oriented hub,4748.54
Azad,Ahluwalia,azad.ahluwalia752@hotmail.com,1824225343,"831, Sarkar Chowk, Etawah-137534",S10004,Science,3.54,Tata,Temporibus 598,1996,Clothing - Programmable foreground toolset,2404.81
Falak,Gandhi,falak.gandhi670@hotmail.com,7724313324,"H.No. 080, Badami Road, Raiganj-270612",S10005,Arts,2.4,Hyundai,Dolorem 102,2023,Books - Ergonomic regional middleware,2711.64
Yadavi,Sood,yadavi.sood736@gmail.com,3647615180,"H.No. 60, Oommen Street, Tiruppur 907061",S10006,Business,2.06,BMW,Amet 317,2012,Sports Equipment - Intuitive zero tolerance firmware,1328.71
Chandani,Ratta,chandani.ratta815@hotmail.com,5973269247,"978, Tata Path, Fatehpur-860940",S10007,Science,2.96,Kia,Eveniet 536,2018,Electronics - Focused contextually-based project,2311.86
Vivaan,Mistry,vivaan.mistry960@gmail.com,815484345,"H.No. 04, Kala, Malda-655015",S10008,Business,2.79,Toyota,Quaerat 682,2022,Clothing - Automated 3rdgeneration forecast,430.41
Karan,Taneja,karan.taneja683@gmail.com,4390770526,"500, Golla Chowk, Kollam 672869",S10009,Computer Science,2.8,Audi,Dolor 107,2003,Toys - Versatile uniform forecast,322.09
Faras,Grover,faras.grover182@yahoo.com,4587673242,"61/96, Shroff Chowk, Bhusawal-480276",S10010,Computer Science,3.95,Hyundai,Quisquam 547,2009,Clothing - Switchable client-server paradigm,3167.97
Lekha,Gandhi,lekha.gandhi498@hotmail.com,5647615719,"29, Din Road, Mathura-360528",S10011,Business,3.64,BMW,Occaecati 167,1990,Sports Equipment - Stand-alone discrete solution,1871.94
Radhika,Sawhney,radhika.sawhney726@hotmail.com,5067420738,"98/75, Kalla, Tiruchirappalli-833963",S10012,Law,2.71,Toyota,Ipsa 680,2001,Sports Equipment - Distributed holistic encoding,2858.98
