account_id,customer_name,account_type,balance,currency,branch,interest_rate,opening_date,credit_score,status
58a19d4a-85f4-4377-86d7-7d68991472ae,Troy Lewis,Business,81165.49,JPY,London,,2024-04-20,735.0,Suspended
5f6d5d9e-ab9d-46d5-8ff0-518bc3091d8d,Brittany Reeves,Loan,38676.96,USD,Tokyo,2.37,2018-12-25,758.0,Closed
63c51162-610d-439d-a613-0862bb88fda3,Miranda Gonzalez,Loan,42504.02,INR,New York,3.2,2025-01-22,563.0,Active
cef90421-fba8-420d-bfa1-1877110af418,Kathleen Armstrong,Savings,,EUR,Berlin,7.06,2017-05-13,815.0,Active
0134c5d7-6710-41cb-bb63-f78eaf6e2bc2,Robert Scott,Business,,USD,Mumbai,,2016-12-23,556.0,Active
1370e9d0-b9c4-4296-a8f6-7f5aba7f7e78,Kimberly Norris,Savings,26498.62,EUR,London,2.76,2016-02-04,361.0,Closed
8745096e-a331-4677-a82e-13a139cea411,Christopher Palmer,Savings,95084.78,INR,New York,7.49,2017-05-16,344.0,Closed
b5b18fee-225d-43ef-aa24-5ceca41f29e8,Amy Chavez,Checking,91898.49,USD,Tokyo,5.21,2020-10-27,434.0,Active
,,Checking,47721.99,USD,Tokyo,3.13,2021-04-01,847.0,Active
a2cb7091-afe6-417f-824e-758cdcf0aee9,,Business,47967.24,USD,Tokyo,1.05,2019-04-01,714.0,
cab71534-5bc0-4376-9082-2e8467cf5f07,Janice Sellers,Checking,21807.7,GBP,New York,6.47,2024-10-29,377.0,Closed
6b7614c1-966e-44e0-9a1f-ffb69aefcde5,Sarah Howard,Business,24702.34,INR,Berlin,4.8,2019-05-08,302.0,Active
6c111b52-ecd1-4ff6-8006-9914b0cd4727,Tracy Good,,24372.55,GBP,New York,7.16,2019-01-11,326.0,
dd1c25a0-3092-409e-84fa-a078d3029437,Dr. Jason Bowman,Business,15856.85,INR,Mumbai,3.01,2019-01-08,659.0,
